label,text
101,"Fruit farmer: Grows and harvests fruits such as apples, oranges, and berries."
101,"Vegetable farmer: Cultivates and harvests vegetables like carrots, potatoes, and lettuce."
102,"Dairy farmer: Manages cows for milk production and processes dairy products."
102,"Sheep farmer: Raises sheep for wool, meat, and other products."
103,"Construction laborer: Performs physical tasks on construction sites, such as digging and carrying materials."
103,"Bricklayer: Lays bricks, concrete blocks, and stones to build walls and structures."
104,"Carpenter: Constructs, installs, and repairs wooden frameworks and structures."
105,"Electrician: Installs, maintains, and repairs electrical systems in buildings and equipment."
106,"Plumber: Installs and repairs water, gas, and drainage systems in homes and businesses."
107,"Software developer: Designs, writes, and tests computer programs and applications."
107,"Web developer: Builds and maintains websites and web applications."
108,"Data analyst: Analyzes data to provide insights and support decision-making."
109,"Accountant: Prepares and examines financial records, ensuring accuracy and compliance with regulations."
109,"Auditor: Reviews financial statements and records to ensure compliance and detect fraud."
110,"Teacher: Educates students in schools, colleges, or universities."
110,"Teaching assistant: Supports teachers in classrooms by helping students and preparing materials."
111,"Nurse: Provides medical care and support to patients in hospitals, clinics, or homes."
111,"Paramedic: Responds to emergency medical situations and provides pre-hospital care."
112,"Chef: Prepares and cooks meals in restaurants, hotels, or other food establishments."
112,"Waiter: Serves food and drinks to customers in restaurants and cafes."
101,"Fruit farmer: Grows and harvests fruits such as apples, oranges, and berries."
101,"Vegetable farmer: Cultivates and harvests vegetables like carrots, potatoes, and lettuce."
101,"Orchard worker: Maintains and harvests fruit trees in orchards."
101,"Berry picker: Harvests berries such as strawberries, blueberries, and raspberries."
102,"Dairy farmer: Manages cows for milk production and processes dairy products."
102,"Sheep farmer: Raises sheep for wool, meat, and other products."
102,"Goat farmer: Raises goats for milk, meat, and fiber production."
102,"Livestock manager: Oversees the care and breeding of farm animals."
103,"Construction laborer: Performs physical tasks on construction sites, such as digging and carrying materials."
103,"Bricklayer: Lays bricks, concrete blocks, and stones to build walls and structures."
103,"Mason: Constructs and repairs stone, brick, and concrete structures."
103,"Demolition worker: Dismantles buildings and structures safely."
104,"Carpenter: Constructs, installs, and repairs wooden frameworks and structures."
104,"Furniture maker: Designs and builds custom furniture pieces."
104,"Woodworker: Crafts wooden items such as cabinets, tables, and chairs."
104,"Joiner: Specializes in creating wooden joints and fittings for construction."
105,"Electrician: Installs, maintains, and repairs electrical systems in buildings and equipment."
105,"Electrical technician: Troubleshoots and repairs electrical devices and systems."
105,"Solar panel installer: Installs and maintains solar energy systems."
105,"Lighting specialist: Designs and installs lighting systems for homes and businesses."
106,"Plumber: Installs and repairs water, gas, and drainage systems in homes and businesses."
106,"Pipefitter: Assembles and installs piping systems for industrial use."
106,"Gas engineer: Installs and maintains gas appliances and systems."
106,"Drainage technician: Repairs and maintains drainage systems and sewers."
107,"Software developer: Designs, writes, and tests computer programs and applications."
107,"Web developer: Builds and maintains websites and web applications."
107,"Mobile app developer: Creates applications for smartphones and tablets."
107,"Game developer: Designs and develops video games for various platforms."
108,"Data analyst: Analyzes data to provide insights and support decision-making."
108,"Business analyst: Evaluates business processes and recommends improvements."
108,"Data scientist: Uses advanced analytics and machine learning to solve complex problems."
108,"Market researcher: Analyzes market trends and consumer behavior to inform business strategies."
109,"Accountant: Prepares and examines financial records, ensuring accuracy and compliance with regulations."
109,"Auditor: Reviews financial statements and records to ensure compliance and detect fraud."
109,"Tax consultant: Advises clients on tax planning and compliance."
109,"Bookkeeper: Maintains financial records and prepares basic financial reports."
110,"Teacher: Educates students in schools, colleges, or universities."
110,"Teaching assistant: Supports teachers in classrooms by helping students and preparing materials."
110,"Tutor: Provides one-on-one academic support to students."
110,"Special education teacher: Works with students who have learning disabilities or special needs."
111,"Nurse: Provides medical care and support to patients in hospitals, clinics, or homes."
111,"Paramedic: Responds to emergency medical situations and provides pre-hospital care."
111,"Midwife: Assists with childbirth and provides prenatal and postnatal care."
111,"Caregiver: Provides personal care and assistance to elderly or disabled individuals."
112,"Chef: Prepares and cooks meals in restaurants, hotels, or other food establishments."
112,"Waiter: Serves food and drinks to customers in restaurants and cafes."
112,"Pastry chef: Specializes in baking and creating desserts."
112,"Bartender: Prepares and serves drinks in bars and restaurants."
113,"Graphic designer: Creates visual concepts for advertisements, websites, and branding."
113,"Illustrator: Produces artwork for books, magazines, and other media."
113,"Animator: Designs and creates animations for films, games, and advertisements."
113,"UI/UX designer: Designs user interfaces and improves user experiences for digital products."
114,"Mechanic: Repairs and maintains vehicles and machinery."
114,"Automotive technician: Diagnoses and fixes issues in cars and trucks."
114,"Aircraft mechanic: Inspects and repairs aircraft systems and components."
114,"Bicycle repair technician: Fixes and maintains bicycles for customers."
115,"Photographer: Captures images for events, advertising, or artistic purposes."
115,"Videographer: Records and edits video content for various projects."
115,"Photo editor: Enhances and retouches images using software tools."
115,"Studio assistant: Helps photographers and videographers with equipment and setup."
116,"Barista: Prepares and serves coffee and other beverages in cafes and coffee shops."
116,"Cafe manager: Oversees daily operations of a cafe, including staff and inventory management."
116,"Coffee roaster: Roasts coffee beans to produce specific flavors and blends."
116,"Tea sommelier: Specializes in the preparation and presentation of tea."
117,"Fitness trainer: Designs and leads exercise programs for individuals or groups."
117,"Yoga instructor: Teaches yoga classes to improve flexibility, strength, and relaxation."
117,"Personal trainer: Provides one-on-one fitness coaching and workout plans."
117,"Pilates instructor: Leads Pilates classes to improve core strength and posture."
118,"Librarian: Manages library resources and assists patrons with research."
118,"Archivist: Preserves and organizes historical documents and records."
118,"Library assistant: Helps with cataloging and organizing books in a library."
118,"Curator: Oversees collections in museums or galleries and organizes exhibitions."
119,"Journalist: Researches and writes news articles for print or online media."
119,"Editor: Reviews and revises written content for publication."
119,"Copywriter: Creates persuasive and engaging content for advertisements and marketing."
119,"Technical writer: Produces manuals and documentation for technical products."
120,"Scientist: Conducts research and experiments to advance knowledge in a specific field."
120,"Lab technician: Assists in scientific experiments and maintains laboratory equipment."
120,"Biologist: Studies living organisms and their interactions with the environment."
